Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
quần-jeans-rach-gối-nam,,,,,,,,,S,,Xám,,,"",0.0,shopify,0,deny,manual,520000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRachG_iNamden2.jpg?v=1637788361,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-rach-gối-nam,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,520000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRachG_iNamxam1.jpg?v=1637788361,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-rach-gối-nam,,,,,,,,,M,,Xám,,,"",0.0,shopify,0,deny,manual,520000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRachG_iNamxam2.jpg?v=1637788362,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-rach-gối-nam,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,520000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-rach-gối-nam,,,,,,,,,L,,Xám,,,"",0.0,shopify,0,deny,manual,520000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,Quần Baggy Xếp Ly Nữ,"",bathangminh,,,"nữ, quần, quần baggy, quần dài",true,Kích cỡ,S,Màu sắc,Xanh lá,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nBaggyX_pLyN_den.jpg?v=1637788027,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-baggy-xếp-ly-nữ,,,,,,,,,S,,Hồng,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nBaggyX_pLyN_h_ng1.jpg?v=1637788027,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,,,,,,,,,S,,Đen,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nBaggyX_pLyN_h_ng2.jpg?v=1637788028,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,,,,,,,,,M,,Xanh lá,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nBaggyX_pLyN_xanh1.jpg?v=1637788028,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,,,,,,,,,M,,Hồng,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nBaggyX_pLyN_xanh2.jpg?v=1637788028,5,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,,,,,,,,,L,,Xanh lá,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,,,,,,,,,L,,Hồng,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-baggy-xếp-ly-nữ,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,699000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,Quần Dài Cạp Chun Nữ,"",bathangminh,,,"nữ, quần, quần dài",true,Kích cỡ,S,Màu sắc,Vàng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiC_pChunn_h_ng1.jpg?v=1637786309,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-dai-cạp-chun-nữ,,,,,,,,,S,,Trắng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiC_pChunn_h_ng2.jpg?v=1637786309,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,,,,,,,,,S,,Hồng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiC_pChunn_tr_ng2.jpg?v=1637786309,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,,,,,,,,,M,,Vàng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiC_pChunn_tr_ng.jpg?v=1637786309,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,,,,,,,,,M,,Trắng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiC_pChunn_vang1.jpg?v=1637786309,5,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,,,,,,,,,M,,Hồng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiC_pChunn_vang2.jpg?v=1637786309,6,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,,,,,,,,,L,,Vàng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,,,,,,,,,L,,Trắng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-cạp-chun-nữ,,,,,,,,,L,,Hồng,,,"",0.0,shopify,0,deny,manual,729000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,Quần Legging nữ,"",bathangminh,,,"nữ, quần, quần dài, quần legging, quần thể thao",true,Kích cỡ,S,Màu sắc,Tím,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nLeggingn_nau.png?v=1637785534,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-legging-nữ,,,,,,,,,S,,Xám,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nLeggingn_tim.png?v=1637785534,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,,,,,,,,,S,,Nâu,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nLeggingn_xam.png?v=1637785534,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,,,,,,,,,M,,Tím,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,,,,,,,,,M,,Xám,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,,,,,,,,,M,,Nâu,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,,,,,,,,,L,,Tím,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,,,,,,,,,L,,Xám,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-legging-nữ,,,,,,,,,L,,Nâu,,,"",0.0,shopify,0,deny,manual,469000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-dai-nữ,Quần Khaki Dài Nữ,"",bathangminh,,,"nữ, quần, quần dài, quần khaki",true,Kích cỡ,S,Màu sắc,Trắng,,,"",0.0,shopify,0,deny,manual,589000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiDain_den.jpg?v=1637785037,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-khaki-dai-nữ,,,,,,,,,S,,Đen,,,"",0.0,shopify,0,deny,manual,589000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiDain_tr_ng2.jpg?v=1637785037,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-dai-nữ,,,,,,,,,M,,Trắng,,,"",0.0,shopify,0,deny,manual,589000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiDain_tr_ng3.jpg?v=1637785037,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-dai-nữ,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,589000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiDain_tr_ng.jpg?v=1637785037,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-dai-nữ,,,,,,,,,L,,Trắng,,,"",0.0,shopify,0,deny,manual,589000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-dai-nữ,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,589000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,Quần Dài Nỉ Nữ,"",bathangminh,,,"nữ, quần, quần dài, quần nỉ",true,Kích cỡ,S,Màu sắc,Đỏ,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiN_N_den.jpg?v=1637784788,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-dai-nỉ-nữ,,,,,,,,,S,,Đen,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiN_N_d.jpg?v=1637784788,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,,,,,,,,,S,,Xám,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiN_N_xam.jpg?v=1637784788,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,,,,,,,,,M,,Đỏ,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,,,,,,,,,M,,Xám,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,,,,,,,,,L,,Đỏ,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-nỉ-nữ,,,,,,,,,L,,Xám,,,"",0.0,shopify,0,deny,manual,349000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,Quần Jogger Túi Hộp Nam,"",bathangminh,,,"nam, quần, quần dài, quần jogger",true,Kích cỡ,S,Màu sắc,Đen,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerTuiH_pNambe.jpg?v=1637777949,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-jogger-tui-hộp-nam,,,,,,,,,S,,Xanh,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerTuiH_pNamden.jpg?v=1637777949,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,,,,,,,,,S,,Be,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerTuiH_pNamxanh.jpg?v=1637777949,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,,,,,,,,,M,,Xanh,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,,,,,,,,,M,,Be,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,,,,,,,,,L,,Xanh,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-tui-hộp-nam,,,,,,,,,L,,Be,,,"",0.0,shopify,0,deny,manual,379000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,Quần Jogger Nỉ Nam,"",bathangminh,,,"nam, quần, quần dài, quần jogger, quần thể thao",true,Kích cỡ,S,Màu sắc,Xám,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerN_Nambe.jpg?v=1637777695,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-jogger-nỉ-nam,,,,,,,,,S,,Đen,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerN_Namden2.jpg?v=1637777696,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,,,,,,,,,S,,Be,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerN_Namden.jpg?v=1637777697,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,,,,,,,,,M,,Xám,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerN_Namxam2.jpg?v=1637777697,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJoggerN_Namxam.jpg?v=1637777697,5,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,,,,,,,,,M,,Be,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,,,,,,,,,L,,Xám,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jogger-nỉ-nam,,,,,,,,,L,,Be,,,"",0.0,shopify,0,deny,manual,369000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,Quần Dài Có Dây Nam,"",bathangminh,,,"nam, quần, quần dài",true,Kích cỡ,S,Màu sắc,Be,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiCoDayNambe2.jpg?v=1637777521,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-dai-co-day-nam,,,,,,,,,S,,Đen,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiCoDayNambe.jpg?v=1637777522,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,,,,,,,,,S,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiCoDayNamden.jpg?v=1637777522,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,,,,,,,,,M,,Be,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiCoDayNamxanh1.jpg?v=1637777522,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nDaiCoDayNamxanh2.jpg?v=1637777522,5,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,,,,,,,,,M,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,,,,,,,,,L,,Be,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-dai-co-day-nam,,,,,,,,,L,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-nam,Quần Khaki Nam,"",bathangminh,,,"nam, quần, quần dài, quần khaki",true,Kích cỡ,S,Màu sắc,Đen,,,"",0.0,shopify,0,deny,manual,389000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiNambe2.jpg?v=1637777239,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-khaki-nam,,,,,,,,,S,,Xám,,,"",0.0,shopify,0,deny,manual,389000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiNambe.jpg?v=1637777239,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-nam,,,,,,,,,S,,Be,,,"",0.0,shopify,0,deny,manual,389000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiNamden2.jpg?v=1637777239,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-nam,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,389000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiNamden.jpg?v=1637777239,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-khaki-nam,,,,,,,,,M,,Xám,,,"",0.0,shopify,0,deny,manual,389000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nKhakiNamxam.jpg?v=1637777239,5,,,,,,,,,,,,,,,,,,,kg,,,
